Date;Symbol;StartDate;EndDate;Offer;Close;Change;Std;Volume;Amount;MktCap
02/05/2014;FRSH;;;11;11,05;0,45 %;;;;
30/10/2014;FSAM;;;17;13,37;-21,35 %;;;;
12/07/2013;FSFR;;;15;14,15;-5,67 %;;;;
26/05/2011;FSL;;;18;18,33;1,83 %;;;;
15/05/2015;FTAI;;;17;16,55;-2,65 %;;;;
20/09/2013;FUEL;;;29;56,1;93,45 %;;;;
16/04/2013;FWM;;;14;17,35;23,93 %;;;;
15/10/2014;FWP;;;21;17,5;-16,67 %;;;;
29/10/2010;GAGA;;;9,5;11,26;18,53 %;;;;
27/03/2013;GARS;;;15;15;0,00 %;;;;
02/07/2014;GBIM;;;10;11,05;10,50 %;;;;
12/08/2015;GBT;;;20;43,11;115,55 %;;;;
15/12/2010;GCAP;;;9;8,85;-1,67 %;;;;
01/04/2015;GDDY;;;20;26,15;30,75 %;;;;
24/10/2013;GDEF;;;10;10,01;0,10 %;;;;
22/07/2010;GDOT;;;36;43,99;22,19 %;;;;
08/10/2010;GEDU;;;10,5;12,2;16,19 %;;;;
09/02/2011;GEVO;;;15;16,44;9,60 %;;;;
05/06/2015;GI;;;15;17;13,33 %;;;;
12/06/2013;GIMO;;;19;28,47;49,84 %;;;;
25/06/2015;GKOS;;;18;31,22;73,44 %;;;;
31/07/2015;GLBL;;;15;14;-6,67 %;;;;
02/12/2010;GLBR;;;14;14,85;6,07 %;;;;
13/03/2014;GLMD;;;13,5;14,31;6,00 %;;;;
18/07/2014;GLOB;;;10;11,25;12,50 %;;;;
30/03/2012;GLOG;;;14;12,41;-11,36 %;;;;
07/05/2014;GLOP;;;21;26,11;24,33 %;;;;
10/01/2014;GLYC;;;8;9,01;12,63 %;;;;
18/11/2010;GM;;;33;34,19;3,61 %;;;;
08/04/2011;GMLP;;;22,5;24,85;10,44 %;;;;
08/08/2014;GNBC;;;15;17,05;13,67 %;;;;
01/04/2011;GNC;;;16;16,75;4,69 %;;;;
05/02/2014;GNCA;;;12;11;-8,33 %;;;;
28/05/2010;GNMK;;;6;6;0,00 %;;;;
11/11/2010;GNOM;;;9;8,03;-10,78 %;;;;
11/02/2010;GNRC;;;13;12,84;-1,23 %;;;;
25/06/2015;GNRT;;;14;13,1;-6,43 %;;;;
21/06/2013;GOGO;;;17;16;-5,88 %;;;;
22/11/2013;GOMO;;;11,22;13,35;18,98 %;;;;
26/06/2015;GPP;;;15;15;0,00 %;;;;
26/06/2014;GPRO;;;24;31,34;30,58 %;;;;
